Nutrient,Avg,StdDev
"Calcium, Ca",45.59550561797753,52.251719967608864
"Iron, Fe",1.2803370786516854,1.0642080946820964
"Magnesium, Mg",35.550561797752806,23.100865166352808
"Phosphorus, P",72.0505617977528,52.08145212117105
"Potassium, K",289.47752808988764,171.21880160552948
"Sodium, Na",18.46067415730337,33.83644816468923
"Zinc, Zn",0.5693820224719102,0.4535611260262658
"Vitamin C, total ascorbic acid",14.514044943820227,23.31084891914711
Thiamin,0.10584831460674157,0.07838529005947718
Riboflavin,0.08691573033707865,0.07696098270229625
Niacin,0.8100674157303371,0.7104489198709687
Vitamin B-6,0.13024719101123594,0.10879870812822222
"Vitamin A, RAE",63.162921348314605,146.70821718733944
